,id_numeric,name,id_origina,source,n_mines,avg_m_area,area_mines,density_mines
138,19070402,White River,19070402,IJC,1.0,1.2504338943099997,1.2504338943087916,9.848439123644607e-05
139,19070403,Ladue River-White River,19070403,IJC,4.0,4.3296286678625,5.08439104498539,0.000620821177870239
140,19070502,Fortymile River,19070502,IJC,37.0,0.4986578612581486,18.450294166996944,0.0010970774599356155
141,19070503,Sixtymile River-Yukon River,19070503,IJC,24.0,8.413931104007666,144.77643284129974,0.011220283128514386
142,19070505,Tatonduk River-Yukon River,19070505,IJC,4.0,0.23670982045514996,0.9468392818224397,0.00010810039823921935
143,19070506,Charley River-Yukon River,19070506,IJC,3.0,1.4571323344876665,4.371397003475432,0.0002724668971078031
144,19080103,Old Crow River,19080103,IJC,0.0,0.0,0.0,0.0
145,19080104,Coleen River,19080104,IJC,0.0,0.0,0.0,0.0
146,19080105,Sheenjek River,19080105,IJC,0.0,0.0,0.0,0.0
147,19080106,Black River,19080106,IJC,0.0,0.0,0.0,0.0
148,19080107,Grass River,19080107,IJC,0.0,0.0,0.0,0.0
149,19080108,Porcupine Flats-Porcupine River,19080108,IJC,0.0,0.0,0.0,0.0
150,19080201,Middle Fork-North Fork Chandalar Rivers,19080201,IJC,5.0,0.45966983444716,2.2983491722391176,0.0002567325406846828
151,19080202,East Fork Chandalar River,19080202,IJC,0.0,0.0,0.0,0.0
152,19080203,Christian River,19080203,IJC,0.0,0.0,0.0,0.0
153,19080204,Lower Chandalar River,19080204,IJC,0.0,0.0,0.0,0.0
154,19080301,Nebesna-Chisana Rivers,19080301,IJC,2.0,7.780391872638949,12.144535353745024,0.0008666130548684989
155,19080302,Tok-Tanana River,19080302,IJC,0.0,0.0,0.0,0.0
156,19080303,Healy Lake-Tanana River,19080303,IJC,2.0,2.3422196333349996,4.684439266672002,0.0003625847230819805
157,19080304,Delta River,19080304,IJC,2.0,0.42689136326749993,0.8537827265310362,0.00019572387648949844
158,19080305,Salcha River,19080305,IJC,2.0,0.24918047882295,0.45153635929171826,7.866284217665983e-05
159,19080306,Chena River,19080306,IJC,12.0,2.9975759110672504,35.912086716812304,0.006709794944098395
160,19080307,Tanana Flats-Tanana River,19080307,IJC,13.0,1.1325606783789848,14.717219158921047,0.000928569858748093
161,19080308,Nenana River,19080308,IJC,5.0,3.46800984451074,17.340049222507826,0.0017127441359969997
162,19080309,Tolovana River,19080309,IJC,19.0,4.020527485769948,55.66946942090828,0.0062365702312942905
163,19080310,Kantishna River,19080310,IJC,1.0,0.744009991146,0.7440099911430722,4.049097919671941e-05
164,19080311,Lower Tanana River,19080311,IJC,13.0,2.0650501017225076,26.845651322400325,0.0022496627375423735
165,19080401,Birch Creek,19080401,IJC,16.0,2.0537443290543496,32.85990926490474,0.0025431038157249612
166,19080402,Beaver Creek,19080402,IJC,2.0,1.855222896255,3.710445792500745,0.00047953823733687075
167,19080403,Yukon Flats-Yukon River,19080403,IJC,0.0,0.0,0.0,0.0
168,19080404,Ramparts-Yukon River,19080404,IJC,10.0,0.6841873694922901,6.841873694923113,0.0006552959128455692
169,19090101,Upper Koyukuk River,19090101,IJC,18.0,0.23659396227385,4.258691320928405,0.00023724572261575147
170,19090102,South Fork Koyukuk River,19090102,IJC,4.0,0.17987661023434995,0.7195064409363753,0.00012037839997135143
171,19090103,Alatna River,19090103,IJC,0.0,0.0,0.0,0.0
172,19090104,Kanuti River,19090104,IJC,0.0,0.0,0.0,0.0
173,19090105,Allakaket-Koyukuk River,19090105,IJC,0.0,0.0,0.0,0.0
174,19090106,Huslia River,19090106,IJC,0.0,0.0,0.0,0.0
175,19090107,Dulbi River,19090107,IJC,0.0,0.0,0.0,0.0
176,19090108,Koyukuk Flats-Koyukuk River,19090108,IJC,6.0,1.403840062814,8.423040376895687,0.0004915287580682698
177,19090109,Kateel River-Koyukuk River,19090109,IJC,0.0,0.0,0.0,0.0
178,19090201,Tozitna River,19090201,IJC,1.0,0.202071217206,0.20207121720338278,4.791836702498363e-05
179,19090202,Nowitna River,19090202,IJC,11.0,1.050220776879,11.552428545667064,0.0006225857917232418
180,19090203,Melozitna River,19090203,IJC,0.0,0.0,0.0,0.0
181,19090204,Klatsuta River-Yukon River,19090204,IJC,4.0,0.6421766206352499,2.5687064825438353,0.00038568286906264014
182,19090205,Galena-Yukon River,19090205,IJC,1.0,0.202027175638,0.20202717563763697,1.3291228311615955e-05
183,19090301,Anvik River-Yukon River,19090301,IJC,0.0,0.0,0.0,0.0
184,19090302,Upper Innoko River,19090302,IJC,20.0,0.9907342201166096,19.814684402332304,0.001731194078958674
185,19090303,Lower Innoko River,19090303,IJC,9.0,1.6830112658116445,15.147101392287142,0.0006028331553967186
186,19090304,Chuilnuk River-Yukon River,19090304,IJC,2.0,0.5106856620035,1.0213713240091487,6.074705688318581e-05
187,19090305,Yukon Delta,19090305,IJC,0.0,0.0,0.0,0.0
